patient,model_type,bit_width,event_average_detection_delay,event_sensitivity,event_false_detections_per_hour
134,bit_width_14,14.0,6.0,66.66666666666667,5.743344301525576
135,bit_width_14,14.0,10.041666666666666,100.0,6.999700867484296
136,bit_width_14,14.0,2.111111111111111,100.0,3.469937182171702
137,bit_width_14,14.0,-1.6666666666666667,85.71428571428571,4.983992385567189
138,bit_width_14,14.0,-1.8823529411764706,94.44444444444444,6.928856743585785
139,bit_width_14,14.0,17.166666666666668,85.71428571428571,3.384470749113286
140,bit_width_14,14.0,-12.5,100.0,8.615016452288364
141,bit_width_14,14.0,37.75,55.55555555555555,3.9485492072988335
142,bit_width_14,14.0,-6.0,100.0,1.692235374556643
143,bit_width_14,14.0,7.25,100.0,4.576727490278193
144,bit_width_14,14.0,-2.3333333333333335,100.0,6.7623595218240355
145,bit_width_14,14.0,17.857142857142858,70.0,8.399641040981155
1,baseline,16.0,3.706349206349207,100.0,6.624478664599211
2,baseline,16.0,-6.25,66.66666666666667,6.72181370304073
3,baseline,16.0,5.8,83.33333333333333,7.149583596630826
4,baseline,16.0,-10.11111111111111,100.0,9.102780655626857
5,baseline,16.0,-9.2,71.42857142857143,6.891369880159425
6,baseline,16.0,-3.6666666666666665,37.5,5.424348982402503
7,baseline,16.0,-0.9,95.0,8.230929748471834
8,baseline,16.0,11.25,15.384615384615385,3.811070600061096
9,baseline,16.0,-5.555555555555555,75.75757575757576,9.441812826963169
10,baseline,16.0,-17.6,100.0,11.2179584906342
11,baseline,16.0,1.4676870748299318,96.42857142857143,2.2209081339163967
12,baseline,16.0,4.5,66.66666666666667,5.126408010012516
13,baseline,16.0,-1.6111111111111114,71.875,7.392504410167431
14,baseline,16.0,-9.433333333333334,58.8235294117647,8.026392410108937
15,baseline,16.0,-2.4,100.0,5.525777331995988
16,baseline,16.0,-30.0,75.0,9.280781729237884
17,baseline,16.0,-4.0,50.0,5.01000801680023
18,baseline,16.0,-11.166666666666666,100.0,6.926238918714408
19,baseline,16.0,24.5,66.66666666666667,1.7773766546329723
20,baseline,16.0,-8.0,100.0,7.421934724338817
21,baseline,16.0,-21.75,80.0,9.398752411481993
22,baseline,16.0,-5.0,92.85714285714286,3.5755378105258417
23,baseline,16.0,-19.333333333333332,50.0,9.246776776467772
24,baseline,16.0,-8.75,57.142857142857146,4.205679541078335
25,baseline,16.0,-2.7,71.42857142857143,8.256521954268079
26,baseline,16.0,-24.0,100.0,10.500732130822632
27,baseline,16.0,-9.138888888888888,67.6470588235294,8.494443449437904
28,baseline,16.0,-9.181818181818182,64.70588235294117,7.900703812577863
29,baseline,16.0,4.8,100.0,6.3181655287537835
30,baseline,16.0,11.0,100.0,2.783237469186524
31,baseline,16.0,52.5,40.0,7.090469497955259
32,baseline,16.0,0.09090909090909091,100.0,2.995134469768662
